Timestamp (Epoch),Temperature (°C),Humidity (%),Pressure (kPa),Illuminance (lx),Latitude,Longitude,Altitude (m),Speed (km/h),Satellites
1750471465,26.51,44.90,100.83,3.23,42.3161774,-71.3346786,51.50,3.94,4
1750471466,28.35,44.86,100.83,4.52,42.3161850,-71.3347168,45.70,2.48,4
1750471467,28.35,44.90,100.83,3.87,42.3161697,-71.3347473,45.10,1.51,4
1750471468,28.37,44.88,100.83,3.23,42.3161697,-71.3347702,44.30,1.64,4
1750471469,28.39,44.78,100.83,2.58,42.3161697,-71.3347855,44.00,0.58,4
1750471470,28.39,44.84,100.83,3.23,42.3161697,-71.3348007,43.50,0.79,4
1750471471,28.41,44.82,100.83,3.23,42.3161621,-71.3348083,43.40,0.95,4
1750471472,28.44,44.81,100.83,3.87,42.3162117,-71.3347397,44.80,11.12,5
1750471473,28.43,44.78,100.83,3.87,42.3162117,-71.3347626,44.70,3.97,5
1750471474,28.44,44.81,100.83,4.52,42.3162041,-71.3347702,44.50,2.39,5
1750471475,28.46,44.79,100.83,4.52,42.3162422,-71.3347168,45.80,11.93,5
1750471476,28.43,44.71,100.83,3.23,42.3162613,-71.3347092,46.80,9.88,5
1750471477,28.44,44.71,100.83,3.87,42.3162613,-71.3347321,47.80,4.51,5
1750471478,28.44,44.74,100.83,0.00,42.3162613,-71.3347321,49.20,4.77,4
1750471479,28.46,44.71,100.83,2.58,42.3162766,-71.3347168,50.80,5.67,4
1750471480,28.46,44.75,100.83,3.87,42.3162766,-71.3347168,52.60,5.20,4
1750471481,28.48,44.79,100.83,4.52,42.3162842,-71.3347168,54.40,5.18,4
1750471482,28.48,44.67,100.83,4.52,42.3162842,-71.3347168,56.10,4.97,4
1750471483,28.50,44.71,100.83,3.87,42.3162918,-71.3347168,57.70,5.16,4
1750471484,28.46,44.71,100.83,4.52,42.3162918,-71.3347168,59.70,5.29,4
1750471485,28.50,44.76,100.83,3.87,42.3162994,-71.3347092,61.80,5.23,4
1750471486,28.48,44.65,100.83,3.87,42.3162842,-71.3347321,61.80,3.71,4
1750471487,28.50,44.63,100.83,3.23,42.3162766,-71.3347397,61.60,2.40,4
1750471488,28.48,44.59,100.83,3.23,42.3162689,-71.3347473,61.70,1.70,4
1750471489,28.54,44.63,100.83,3.87,42.3162613,-71.3347626,61.50,1.19,4
1750471490,28.52,44.64,100.83,3.87,42.3162498,-71.3347702,61.70,0.96,4
1750471491,28.54,44.73,100.83,3.87,42.3162498,-71.3347702,61.70,0.39,5
1750471492,28.52,44.64,100.83,3.23,42.3162613,-71.3347702,62.70,1.32,4
1750471493,28.54,44.67,100.83,3.23,42.3162613,-71.3347626,62.80,1.54,4
1750471494,28.54,44.62,100.83,3.87,42.3162613,-71.3347626,62.90,1.78,4
1750471495,28.50,44.60,100.83,3.87,42.3162689,-71.3347626,63.30,2.02,4
1750471496,28.57,44.65,100.83,3.23,42.3162613,-71.3347626,62.70,1.55,4
1750471497,28.52,44.58,100.83,4.52,42.3162766,-71.3347473,63.40,1.90,4
1750471498,28.52,44.64,100.83,3.23,42.3162766,-71.3347473,63.90,2.22,4
1750471499,28.55,44.68,100.83,3.87,42.3162766,-71.3347473,63.70,2.17,4
1750471500,28.54,44.63,100.83,3.23,42.3162689,-71.3347626,63.00,1.81,4
1750471501,28.55,44.59,100.83,3.87,42.3162613,-71.3347702,62.80,1.27,4
1750471502,28.57,44.51,100.83,4.52,42.3162613,-71.3347702,62.70,1.03,4
1750471503,28.55,44.58,100.83,3.87,42.3162613,-71.3347702,62.20,0.76,4
1750471504,28.54,44.55,100.83,3.87,42.3162613,-71.3347855,61.70,1.46,4
1750471505,28.55,44.53,100.83,3.87,42.3162613,-71.3348007,60.70,0.86,4
1750471506,28.55,44.57,100.83,3.87,42.3162498,-71.3348083,60.50,0.73,4
1750471507,28.57,44.54,100.83,3.87,42.3162422,-71.3348160,60.20,0.57,4
1750471508,28.57,44.52,100.83,3.87,42.3162346,-71.3348312,60.00,0.53,4
1750471509,28.59,44.59,100.83,3.87,42.3162346,-71.3348312,60.20,0.68,4
1750471510,28.54,44.52,100.83,3.87,42.3162270,-71.3348389,60.30,0.76,4
1750471511,28.54,44.60,100.83,3.23,42.3162270,-71.3348389,60.50,0.76,4
1750471512,28.54,44.51,100.83,4.52,42.3162270,-71.3348465,60.40,1.01,4
1750471513,28.55,44.58,100.83,2.58,42.3162270,-71.3348465,60.40,1.04,4
1750471514,28.59,44.51,100.83,3.87,42.3162270,-71.3348541,60.40,1.09,4
1750471515,28.59,44.50,100.84,3.87,42.3162270,-71.3348541,60.50,1.05,4
1750471516,28.61,44.56,100.83,3.23,42.3162270,-71.3348541,60.60,1.15,4
1750471517,28.59,44.61,100.83,3.23,42.3162270,-71.3348541,61.00,1.22,4
1750471518,28.55,44.62,100.83,3.87,42.3162346,-71.3348541,61.10,1.27,4
1750471519,28.55,44.49,100.83,3.87,42.3162346,-71.3348541,61.10,1.21,4
1750471520,28.59,44.54,100.83,3.87,42.3162346,-71.3348694,60.00,1.27,4
1750471521,28.61,44.51,100.83,3.23,42.3162346,-71.3348694,59.90,1.29,4
1750471522,28.57,44.53,100.83,7.74,42.3162270,-71.3348770,60.00,1.01,4
1750471523,28.54,44.46,100.83,3.87,42.3162422,-71.3348694,61.10,1.34,4
1750471524,28.57,44.53,100.83,3.87,42.3162346,-71.3348694,60.80,1.17,4
1750471525,28.59,44.58,100.84,3.87,42.3162422,-71.3348770,60.80,1.33,4
1750471526,28.54,44.56,100.83,3.23,42.3162346,-71.3348846,60.60,1.07,4
1750471527,28.59,44.57,100.83,3.87,42.3162270,-71.3348846,60.40,0.92,4
1750471528,28.57,44.46,100.83,4.52,42.3162270,-71.3348846,60.80,0.94,4
1750471529,28.57,44.61,100.83,3.87,42.3162193,-71.3349075,60.70,0.91,4
1750471530,28.57,44.44,100.83,3.87,42.3162193,-71.3349152,61.20,0.59,4
1750471531,28.55,44.54,100.83,3.23,42.3162117,-71.3349228,61.30,0.40,4
1750471532,28.59,44.57,100.83,3.87,42.3162041,-71.3349228,61.60,0.65,4
1750471533,28.59,44.62,100.83,3.87,42.3162041,-71.3349457,61.90,1.67,4
1750471534,28.59,44.52,100.83,3.87,42.3162117,-71.3349457,62.80,1.54,4
1750471535,28.59,44.50,100.83,2.58,42.3161964,-71.3349533,60.40,1.19,3
1750471536,28.59,44.53,100.83,3.23,42.3161964,-71.3349686,60.50,1.49,3
1750471537,28.57,44.56,100.83,3.23,42.3162041,-71.3349686,60.60,1.80,3
1750471538,28.57,44.61,100.83,3.23,42.3161964,-71.3349686,60.70,1.44,3
1750471539,28.57,44.60,100.83,3.87,42.3162041,-71.3349686,60.80,1.62,3
1750471540,28.57,44.50,100.83,3.87,42.3161964,-71.3349686,60.90,0.52,3
1750471541,28.61,44.58,100.83,3.23,42.3161964,-71.3349762,61.10,1.18,3
1750471542,28.55,44.53,100.83,3.23,42.3161964,-71.3349762,61.20,1.46,3
1750471543,28.57,44.58,100.83,2.58,42.3161964,-71.3349838,61.40,2.31,5
1750471544,28.55,44.56,100.83,2.58,42.3162041,-71.3349762,60.90,2.66,5
1750471545,28.57,44.60,100.83,3.23,42.3162422,-71.3348846,60.90,4.69,5
1750471546,28.59,44.54,100.83,3.23,42.3162613,-71.3348694,61.10,4.64,5
1750471547,28.61,44.56,100.83,2.58,42.3162613,-71.3348465,60.90,3.08,4
1750471548,28.57,44.55,100.83,2.58,42.3162766,-71.3348389,60.90,1.67,4
1750471549,28.57,44.53,100.83,2.58,42.3162613,-71.3348465,60.80,1.27,4
1750471550,28.59,44.54,100.83,3.87,42.3162613,-71.3348389,60.80,1.66,4
1750471551,28.61,44.59,100.83,4.52,42.3162689,-71.3348465,60.70,0.91,4
1750471554,28.55,44.56,100.83,3.87,42.3162613,-71.3348312,60.70,0.93,3
1750471555,28.52,44.58,100.83,3.23,42.3162613,-71.3348160,60.60,1.23,3
1750471556,28.55,44.64,100.83,3.23,42.3162766,-71.3347702,60.60,3.50,3
1750471557,28.61,44.60,100.83,2.58,42.3162842,-71.3347702,60.60,2.85,3
1750471558,28.57,44.48,100.83,3.23,42.3162842,-71.3347626,60.40,2.58,3
1750471559,28.55,44.58,100.83,3.23,42.3162766,-71.3347855,60.30,1.19,3
1750471560,28.57,44.56,100.83,2.58,42.3162766,-71.3348007,60.30,0.72,3
1750471561,28.59,44.68,100.83,1.94,42.3162613,-71.3348083,60.20,0.86,3
1750471566,28.57,44.61,100.83,2.58,42.3161964,-71.3348083,59.70,1.67,3
1750471567,28.52,44.48,100.83,2.58,42.3161697,-71.3347702,59.00,1.99,3
1750471568,28.55,44.64,100.83,1.94,42.3161469,-71.3347855,58.80,1.19,3
1750471569,28.52,44.62,100.83,1.94,42.3160896,-71.3348389,58.90,1.07,3
1750471570,28.57,44.59,100.83,1.94,42.3160553,-71.3348389,59.20,1.27,3
1750471571,28.52,44.56,100.83,1.94,42.3160057,-71.3348541,59.10,1.87,3
1750471574,28.55,44.59,100.83,2.58,42.3159523,-71.3349075,58.90,3.99,3
1750471575,28.54,44.64,100.83,1.94,42.3159599,-71.3348770,59.60,3.05,3
1750471576,28.54,44.68,100.83,1.94,42.3159523,-71.3349152,60.20,2.72,3
1750471577,28.54,44.52,100.83,1.94,42.3159332,-71.3349075,59.70,2.58,3
1750471578,28.55,44.56,100.83,3.87,42.3159332,-71.3349075,60.00,2.96,3
1750471579,28.55,44.71,100.83,1.94,42.3159256,-71.3349075,60.20,4.05,3
1750471580,28.55,44.57,100.83,1.94,42.3159027,-71.3349075,59.70,3.62,3
1750471581,28.54,44.63,100.83,1.94,42.3158951,-71.3348846,59.60,3.68,4
1750471582,28.50,44.64,100.83,1.94,42.3158836,-71.3348846,59.40,4.52,4
1750471583,28.55,44.63,100.83,1.94,42.3159027,-71.3348694,60.30,3.29,4
1750471584,28.59,44.59,100.83,1.94,42.3159332,-71.3348389,62.00,2.16,4
1750471585,28.50,44.66,100.83,1.94,42.3159904,-71.3348007,62.10,3.16,4
1750471586,28.52,44.59,100.83,1.29,42.3160400,-71.3347626,63.20,0.39,4
1750471587,28.55,44.66,100.83,0.65,42.3160553,-71.3347397,63.60,0.47,4
1750471588,28.54,44.59,100.83,1.94,42.3160553,-71.3347321,63.60,0.54,4
1750471589,28.54,44.63,100.84,1.29,42.3160744,-71.3347168,63.70,0.74,4
1750471590,28.54,44.73,100.84,1.94,42.3160896,-71.3347015,63.80,0.47,3
1750471591,28.57,44.67,100.84,1.29,42.3161049,-71.3347015,64.10,0.62,3
1750471592,28.55,44.66,100.84,1.29,42.3161049,-71.3347015,64.30,0.22,3
1750471593,28.52,44.52,100.84,2.58,42.3161049,-71.3347015,64.30,0.24,3
1750471594,28.55,44.55,100.84,1.94,42.3161049,-71.3347015,64.20,0.20,3
1750471595,28.48,44.58,100.84,1.94,42.3160973,-71.3347168,63.90,2.31,4
1750471596,28.44,44.57,100.84,1.94,42.3161049,-71.3347015,64.00,0.66,4
1750471597,28.44,44.62,100.84,1.94,42.3161049,-71.3346863,63.90,0.32,4
1750471598,28.46,44.60,100.84,1.94,42.3161049,-71.3346786,63.90,0.19,4
1750471599,28.43,44.56,100.84,2.58,42.3161125,-71.3346710,64.10,0.09,5
1750471600,28.46,44.62,100.84,1.94,42.3161125,-71.3346634,64.30,0.04,5
1750471601,28.44,44.73,100.84,1.94,42.3161125,-71.3346634,64.20,0.11,5
1750471602,28.46,44.70,100.84,2.58,42.3161125,-71.3346405,64.20,0.08,5
1750471603,28.50,44.63,100.84,2.58,42.3161125,-71.3346405,64.10,0.09,5
1750471604,28.48,44.68,100.84,1.94,42.3161125,-71.3346405,64.00,0.01,5
1750471605,28.50,44.51,100.84,1.94,42.3161125,-71.3346405,63.90,0.06,5
1750471606,28.48,44.69,100.84,1.94,42.3161201,-71.3346405,63.90,0.04,5
1750471607,28.50,44.61,100.83,1.94,42.3161201,-71.3346329,63.90,0.02,5
1750471608,28.48,44.61,100.84,4.52,42.3161201,-71.3346329,63.80,0.09,5
1750471609,28.48,44.69,100.84,1.94,42.3161201,-71.3346329,63.80,0.07,5
1750471610,28.48,44.57,100.84,1.29,42.3161201,-71.3346329,63.70,0.06,5
1750471611,28.44,44.55,100.84,1.94,42.3161201,-71.3346329,63.60,0.06,5
1750471612,28.48,44.53,100.84,1.29,42.3161201,-71.3346329,63.60,0.06,5
1750471613,28.43,44.51,100.84,1.94,42.3161201,-71.3346252,63.50,0.01,5
1750471614,28.44,44.52,100.84,2.58,42.3161278,-71.3346252,63.30,0.18,5
1750471615,28.44,44.58,100.84,1.94,42.3161278,-71.3346252,63.20,0.04,5
1750471616,28.44,44.52,100.84,1.94,42.3161278,-71.3346252,63.20,0.04,5
1750471617,28.48,44.65,100.83,1.94,42.3161278,-71.3346252,63.10,0.08,5
1750471618,28.44,44.50,100.83,2.58,42.3161278,-71.3346252,63.00,0.14,5
1750471619,28.48,44.53,100.84,1.94,42.3161278,-71.3346252,62.90,0.07,5
1750471620,28.44,44.57,100.84,1.94,42.3161278,-71.3346252,62.70,0.59,4
1750471621,28.44,44.52,100.84,1.94,42.3161278,-71.3346252,63.40,0.64,6
1750471629,28.43,44.52,100.84,1.94,42.3161125,-71.3346329,66.30,0.36,7
1750471630,28.24,44.78,100.84,1.94,42.3161125,-71.3346329,66.40,0.17,7
1750471631,28.26,44.82,100.83,1.94,42.3161125,-71.3346329,66.50,0.08,7
1750471632,28.26,44.62,100.84,1.94,42.3161125,-71.3346329,66.70,0.09,6
1750471633,28.28,44.71,100.84,2.58,42.3161125,-71.3346329,66.70,0.29,7
1750471634,28.30,44.78,100.84,1.94,42.3161125,-71.3346329,67.30,0.54,7
1750471635,28.26,44.69,100.84,1.94,42.3161125,-71.3346329,67.80,0.53,7
1750471636,28.24,44.73,100.84,1.94,42.3161125,-71.3346329,68.20,0.24,7
1750471637,28.22,44.65,100.84,1.94,42.3161125,-71.3346329,68.30,0.21,7
1750471638,28.20,44.80,100.84,1.94,42.3161125,-71.3346329,68.50,0.12,7
1750471639,28.19,44.85,100.84,2.58,42.3161125,-71.3346329,68.70,0.10,7
1750471640,28.11,44.65,100.84,2.58,42.3161125,-71.3346329,68.80,0.09,7
1750471641,28.11,44.70,100.84,2.58,42.3161125,-71.3346329,69.00,0.14,7
1750471642,28.06,44.71,100.84,2.58,42.3161125,-71.3346329,69.20,0.21,7
1750471643,28.04,44.78,100.84,1.94,42.3161125,-71.3346329,69.30,0.10,7
1750471644,27.98,44.76,100.84,1.94,42.3161125,-71.3346329,69.40,0.01,7
1750471645,27.98,44.62,100.84,1.94,42.3161125,-71.3346329,69.60,0.11,7
1750471646,27.98,44.74,100.83,2.58,42.3161049,-71.3346329,69.80,0.16,7
1750471647,27.93,44.79,100.84,1.29,42.3161049,-71.3346329,69.90,0.21,7
1750471648,27.97,44.85,100.84,1.94,42.3161049,-71.3346329,70.10,0.20,7
1750471649,27.95,44.72,100.84,1.94,42.3161049,-71.3346329,70.10,0.21,7
1750471650,27.93,44.74,100.84,1.94,42.3161049,-71.3346329,70.20,0.07,7
1750471651,27.89,44.83,100.84,1.29,42.3161049,-71.3346329,70.30,0.08,8
1750471652,27.89,44.92,100.84,1.29,42.3161049,-71.3346329,70.40,0.09,8
1750471653,27.85,44.94,100.84,1.94,42.3161049,-71.3346329,70.50,0.10,8
1750471654,27.78,44.82,100.84,1.94,42.3161049,-71.3346329,70.50,0.05,8
1750471655,27.82,44.88,100.84,1.94,42.3161049,-71.3346329,70.50,0.10,8
1750471656,27.80,44.97,100.84,1.94,42.3161049,-71.3346329,70.60,0.13,8
1750471657,27.82,44.87,100.84,3.23,42.3161049,-71.3346329,70.70,0.01,7
1750471658,27.82,45.05,100.84,1.29,42.3161049,-71.3346329,70.80,0.12,7
1750471665,27.69,45.05,100.84,1.29,42.3160973,-71.3346252,72.60,0.10,9
1750471666,27.67,45.18,100.84,2.58,42.3160973,-71.3346252,72.60,0.13,8
1750471667,27.65,45.06,100.84,1.94,42.3160973,-71.3346252,72.60,0.13,8
1750471668,27.63,45.03,100.84,1.29,42.3160973,-71.3346252,72.60,0.10,9
